,Latitude,Longitude,Easting,Northing,Zone,Date/Local Standard Time,Week No.,PitID,State,Location,Site,HN (cm) A,HN (cm) B,HN (cm) C,AVG HN (cm),SWE (mm) A,SWE (mm) B,SWE (mm) C,AVG SWE (mm),Melt,Comments,date_t2,geometry,nearest_inc,100_int_sd_delta_VV,100_unw_sd_delta_VV,300_int_sd_delta_VV,300_unw_sd_delta_VV,500_int_sd_delta_VV,500_unw_sd_delta_VV,nearest_int_sd_delta_VV,nearest_cor_VV,nearest_unw_sd_delta_VV,100_int_sd_delta_VH,100_unw_sd_delta_VH,300_int_sd_delta_VH,300_unw_sd_delta_VH,500_int_sd_delta_VH,500_unw_sd_delta_VH,nearest_int_sd_delta_VH,nearest_cor_VH,nearest_unw_sd_delta_VH,100_int_sd_delta_HV,100_unw_sd_delta_HV,300_int_sd_delta_HV,300_unw_sd_delta_HV,500_int_sd_delta_HV,500_unw_sd_delta_HV,nearest_int_sd_delta_HV,nearest_cor_HV,nearest_unw_sd_delta_HV,100_int_sd_delta_HH,100_unw_sd_delta_HH,300_int_sd_delta_HH,300_unw_sd_delta_HH,500_int_sd_delta_HH,500_unw_sd_delta_HH,nearest_int_sd_delta_HH,nearest_cor_HH,nearest_unw_sd_delta_HH,300_coh,cor_0.5_300_int_sd_delta_VV,cor_0.5_300_unw_sd_delta_VV,cor_0.6_300_int_sd_delta_VV,cor_0.6_300_unw_sd_delta_VV,Date,"Local 
Time",DEN (kg/m^3) A,DEN (kg/m^3) B,DEN (kg/m^3) C,avg HN (cm),avg SWE (mm),avg DEN (kg/m^3)
33,43.75882,-116.09019,573238.0,4845488.0,11.0,2020-01-24 13:15:00,3,IDBRBU,ID,Boise River Basin,Bogus Upper,7.5,7.5,8.0,7.7,16.0,15.0,16.0,15.7,Yes,"melt on interval board was bottom 3cm, very distinct.",2020-01-24 13:15:00,POINT (-116.09019 43.75882),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,43.75878,-116.09017,573240.0,4845484.0,11.0,2020-01-31 13:30:00,4,IDBRBU,ID,Boise River Basin,Bogus Upper,30.0,30.0,29.0,29.7,62.0,50.0,51.0,54.3,No, ,2020-01-31 13:30:00,POINT (-116.09017 43.75878),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,43.75881,-116.09018,573239.0,4845487.0,11.0,2020-02-07 12:30:00,5,IDBRBU,ID,Boise River Basin,Bogus Upper,28.5,27.5,29.5,28.5,69.0,72.0,73.0,71.3, , ,2020-02-07 12:30:00,POINT (-116.09018 43.75881),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,43.75884,-116.09017,573240.0,4845490.0,11.0,2020-02-14 12:30:00,6,IDBRBU,ID,Boise River Basin,Bogus Upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , ,2020-02-14 12:30:00,POINT (-116.09017 43.75884),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,43.75881,-116.09017,573240.0,4845487.0,11.0,2020-02-20 11:00:00,7,IDBRBU,ID,Boise River Basin,Bogus Upper,18.0,19.0,19.0,18.7,34.0,33.0,34.0,33.7,No, ,2020-02-20 11:00:00,POINT (-116.09017 43.75881),1.2566590309143066,0.10884977877140045,,0.12511886656284332,,0.12348856776952744,,0.046890389174222946,0.3433329463005066,,0.11862857639789581,,0.12030550837516785,,0.11862857639789581,,0.12169145047664642,0.24424980580806732,,0.12343064695596695,,0.12521213293075562,,0.12343064695596695,,0.10641775280237198,0.17146308720111847,,0.12208995968103409,,0.12309111654758453,,0.12208995968103409,,0.1787503957748413,0.35402584075927734,,0.36538174748420715,0.1631990373134613,,0.17849105596542358,,,,,,,,,
38,43.75876,-116.09014,573242.0,4845482.0,11.0,2020-02-26 14:45:00,8,IDBRBU,ID,Boise River Basin,Bogus Upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , ,2020-02-26 14:45:00,POINT (-116.09014 43.75876),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,43.75879,-116.09019,573238.0,4845485.0,11.0,2020-03-04 14:55:00,9,IDBRBU,ID,Boise River Basin,Bogus Upper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, , ,2020-03-04 14:55:00,POINT (-116.09019 43.75879),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,43.75882,-116.09025,573233.0,4845488.0,11.0,2020-03-11 14:00:00,10,IDBRBU,ID,Boise River Basin,Bogus Upper,2.8,2.8,2.8,2.8,9.0,8.0,8.0,8.3,Yes, ,2020-03-11 14:00:00,POINT (-116.09025 43.75882),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,43.93209,-115.66576,607094.0,4865196.0,11.0,2020-02-12 11:00:00,6,IDBRMC,ID,Boise River Basin,Mores Creek Summit,29.0, , ,29.0,61.0, , ,61.0, ,"coordinates are: 607094 E, 4865196 N. Last measurement on 2020-02-05. Crust present on board.",2020-02-12 11:00:00,POINT (-115.66576 43.93209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,43.93209,-115.66576,607094.0,4865196.0,11.0,2020-03-11 11:00:00,10,IDBRMC,ID,Boise River Basin,Mores Creek Summit,4.0, , ,4.0,13.0, , ,13.0, ,"coordinaes are 607094 E, 4865196 N. Last measurement on 2020-03-03. ",2020-03-11 11:00:00,POINT (-115.66576 43.93209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
